user_id,content_id,is_watched,is_liked,is_commented,is_shared,like_percentage,comment_percentage,share_percentage,cluster
2,320,1,1,1,0,-0.5681120686787556,-0.5804294923078024,-0.5989120572049601,1
59,272,0,0,1,0,-0.5681120689115885,1.7228621442976708,-0.5989120572049601,2
99,241,0,0,0,1,-0.5681120689115885,-0.5804294925381316,1.669694219873444,3
19,476,1,1,1,0,-0.5681120686787556,-0.5804294923078024,-0.5989120572049601,1
40,401,0,1,1,0,1.7602160821154045,1.7228621442976708,-0.5989120572049601,0
55,57,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
73,379,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
80,232,0,0,1,1,-0.5681120689115885,1.7228621442976708,1.669694219873444,2
38,422,1,1,1,0,-0.5681120686787556,-0.5804294923078024,-0.5989120572049601,1
87,357,0,0,1,1,-0.5681120689115885,1.7228621442976708,1.669694219873444,2
98,78,0,0,1,0,-0.5681120689115885,1.7228621442976708,-0.5989120572049601,2
31,119,1,0,0,0,-0.5681120689115885,-0.5804294925381316,-0.5989120572049601,1
60,421,1,0,0,0,-0.5681120689115885,-0.5804294925381316,-0.5989120572049601,1
39,89,1,1,0,1,-0.5681120686787556,-0.5804294925381316,-0.5989120569780995,1
56,352,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
8,234,1,1,1,0,-0.5681120686787556,-0.5804294923078024,-0.5989120572049601,1
85,24,0,0,1,1,-0.5681120689115885,1.7228621442976708,1.669694219873444,2
26,438,1,1,0,1,-0.5681120686787556,-0.5804294925381316,-0.5989120569780995,1
9,225,0,1,1,1,1.7602160821154045,1.7228621442976708,1.669694219873444,0
33,421,1,1,0,1,-0.5681120686787556,-0.5804294925381316,-0.5989120569780995,1
20,357,1,0,1,0,-0.5681120689115885,-0.5804294923078024,-0.5989120572049601,1
94,179,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
77,316,1,1,1,1,-0.5681120686787556,-0.5804294923078024,-0.5989120569780995,1
5,27,0,1,0,0,1.7602160821154045,-0.5804294925381316,-0.5989120572049601,4
79,89,0,1,0,1,1.7602160821154045,-0.5804294925381316,1.669694219873444,4
55,495,0,1,1,1,1.7602160821154045,1.7228621442976708,1.669694219873444,0
8,407,1,0,0,0,-0.5681120689115885,-0.5804294925381316,-0.5989120572049601,1
44,463,1,1,1,1,-0.5681120686787556,-0.5804294923078024,-0.5989120569780995,1
7,231,0,1,0,0,1.7602160821154045,-0.5804294925381316,-0.5989120572049601,4
91,62,0,1,0,1,1.7602160821154045,-0.5804294925381316,1.669694219873444,4
53,314,0,1,1,1,1.7602160821154045,1.7228621442976708,1.669694219873444,0
35,441,0,0,0,1,-0.5681120689115885,-0.5804294925381316,1.669694219873444,3
95,19,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
66,11,0,1,1,0,1.7602160821154045,1.7228621442976708,-0.5989120572049601,0
31,410,0,0,1,0,-0.5681120689115885,1.7228621442976708,-0.5989120572049601,2
2,485,0,1,0,1,1.7602160821154045,-0.5804294925381316,1.669694219873444,4
21,336,1,1,0,0,-0.5681120686787556,-0.5804294925381316,-0.5989120572049601,1
35,72,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
25,321,0,0,1,0,-0.5681120689115885,1.7228621442976708,-0.5989120572049601,2
34,133,1,1,1,1,-0.5681120686787556,-0.5804294923078024,-0.5989120569780995,1
27,119,0,0,1,1,-0.5681120689115885,1.7228621442976708,1.669694219873444,2
37,435,1,1,0,1,-0.5681120686787556,-0.5804294925381316,-0.5989120569780995,1
69,299,0,0,1,0,-0.5681120689115885,1.7228621442976708,-0.5989120572049601,2
88,183,1,0,0,1,-0.5681120689115885,-0.5804294925381316,-0.5989120569780995,1
47,218,0,0,0,1,-0.5681120689115885,-0.5804294925381316,1.669694219873444,3
39,250,0,0,0,1,-0.5681120689115885,-0.5804294925381316,1.669694219873444,3
10,316,0,0,1,1,-0.5681120689115885,1.7228621442976708,1.669694219873444,2
5,34,1,1,1,1,-0.5681120686787556,-0.5804294923078024,-0.5989120569780995,1
69,446,0,1,1,0,1.7602160821154045,1.7228621442976708,-0.5989120572049601,0
28,54,1,1,0,0,-0.5681120686787556,-0.5804294925381316,-0.5989120572049601,1
63,287,0,1,1,1,1.7602160821154045,1.7228621442976708,1.669694219873444,0
9,386,0,0,0,0,-0.5681120689115885,-0.5804294925381316,-0.5989120572049601,1
32,270,0,0,1,1,-0.5681120689115885,1.7228621442976708,1.669694219873444,2
78,19,0,1,0,0,1.7602160821154045,-0.5804294925381316,-0.5989120572049601,4
